Column1,date,open,high,low,close,volume,average,barCount,crossed
85,6/30/2022 12:05,152.1,152.12,151.04,151.09,7951.16,151.37,3153,Crossed.same
86,6/30/2022 12:10,151.07,151.38,150.95,151.27,6701.99,151.125,2764,Crossed.same
87,6/30/2022 12:15,151.26,151.26,150.77,150.98,5147.68,150.961,2352,Crossed.same
88,6/30/2022 12:20,150.98,151.54,150.93,151.43,4667.81,151.233,2194,Crossed.same
89,6/30/2022 12:25,151.42,152.43,151.39,152.31,8596.26,151.947,3300,Crossed.same
90,6/30/2022 12:30,152.33,152.89,152.21,152.78,7940.21,152.592,3104,Crossed.same
91,6/30/2022 12:35,152.76,153.18,152.45,152.49,8808.48,152.786,3280,Crossed.same
92,6/30/2022 12:40,152.48,153.44,152.16,152.33,10266.71,152.674,4498,Crossed.same
93,6/30/2022 12:45,152.33,153.16,152.15,152.36,8131.6,152.639,3506,Crossed.same
94,6/30/2022 12:50,152.34,152.57,150.89,151.11,10635.56,151.728,5518,Crossed.same
95,6/30/2022 12:55,151.09,151.77,150.52,151.59,19454.5,151.153,9963,Crossed.same
96,6/30/2022 13:00,151.65,151.66,150,150.48,44124.26,151.58,293,Crossed.same
97,6/30/2022 13:05,150.5,150.6,149.85,150.29,725.59,150.144,293,Crossed.same
98,6/30/2022 13:10,150.15,151.59,149.94,150,1156.99,150.897,181,Crossed.same
99,6/30/2022 13:15,149.92,150.38,149.66,150.25,522.23,150.046,126,Crossed.same
100,6/30/2022 13:20,150.3,150.4,150.25,150.4,161.2,150.299,80,Crossed.same
101,6/30/2022 13:25,150.48,150.98,150.48,150.75,407.32,150.711,210,Crossed.same
102,6/30/2022 13:30,150.81,150.84,150.6,150.76,110.87,150.749,43,Crossed.same
103,6/30/2022 13:35,150.67,151.3,150.52,151.2,417.33,151.011,144,Crossed.same
104,6/30/2022 13:40,151.2,151.97,151.2,151.76,623.85,151.652,289,Crossed.same
105,6/30/2022 13:45,151.8,151.9,151.5,151.62,219.98,151.784,110,Crossed.same
106,6/30/2022 13:50,151.51,151.7,151.5,151.68,105.22,151.596,50,Crossed.same
107,6/30/2022 13:55,151.51,151.69,151.27,151.27,40.54,151.465,23,Crossed.same
108,6/30/2022 14:00,151.32,151.32,151,151.31,140.59,151.229,39,Crossed.same
109,6/30/2022 14:05,151.06,151.32,151,151.05,84.53,151.085,22,Crossed.same
110,6/30/2022 14:10,151.18,151.56,151.15,151.15,68.81,151.336,28,Crossed.same
111,6/30/2022 14:15,151.35,151.35,151.3,151.3,10,151.332,4,Crossed.same
112,6/30/2022 14:20,151.32,151.32,151.02,151.02,19.52,151.241,11,Crossed.same
113,6/30/2022 14:25,150.75,151,150.68,150.98,37.57,150.868,8,Crossed.same
114,6/30/2022 14:30,150.98,151.24,150.98,151,35.5,151.073,13,Crossed.same
115,6/30/2022 14:35,151.04,151.2,151,151,37.33,151.019,5,Crossed.same
116,6/30/2022 14:40,151.03,151.19,151,151.02,26.18,151.091,6,Crossed.same
117,6/30/2022 14:45,150.99,151,150.84,150.99,21.13,150.95,8,Crossed.same
118,6/30/2022 14:50,150.85,150.99,150.84,150.99,40,150.867,5,Crossed.same
119,6/30/2022 14:55,150.95,150.95,150.95,150.95,3,150.95,1,Crossed.same
120,6/30/2022 15:00,150.88,151,150.87,150.98,16.39,150.972,7,Crossed.same
121,6/30/2022 15:05,150.88,150.93,150.75,150.75,63.67,150.814,21,Crossed.same
122,6/30/2022 15:10,150.7,150.78,150.58,150.66,109.69,150.68,44,Crossed.same
123,6/30/2022 15:15,150.6,150.9,150.6,150.9,13.73,150.829,9,Crossed.same
124,6/30/2022 15:20,150.9,150.96,150.75,150.75,15.74,150.895,6,Crossed.same
125,6/30/2022 15:25,150.89,150.9,150.74,150.75,10.18,150.798,6,Crossed.same
126,6/30/2022 15:30,150.84,151,150.83,150.85,41.98,150.888,14,Crossed.same
127,6/30/2022 15:35,150.85,150.85,150.73,150.73,7.09,150.817,4,Crossed.same
128,6/30/2022 15:40,150.65,150.72,150.6,150.7,123.02,150.642,26,Crossed.same
129,6/30/2022 15:45,150.7,150.7,150.59,150.59,6,150.623,5,Crossed.same
130,6/30/2022 15:50,150.6,150.65,150.6,150.65,12.53,150.61,2,Crossed.same
131,6/30/2022 15:55,150.8,150.85,150.71,150.71,11.99,150.797,4,Crossed.same
132,6/30/2022 16:00,150.78,150.8,150.78,150.8,9.62,150.794,6,Crossed.same
133,6/30/2022 16:05,150.8,150.8,150.65,150.65,20.8,150.716,7,Crossed.same
134,6/30/2022 16:10,150.69,150.8,150.56,150.8,29.48,150.634,8,Crossed.same
135,6/30/2022 16:15,150.68,150.7,150.62,150.7,7.09,150.651,4,Crossed.same
136,6/30/2022 16:20,150.65,150.7,150.6,150.7,8.22,150.665,3,Crossed.same
137,6/30/2022 16:25,150.69,150.9,150.6,150.9,55.48,150.812,18,Crossed.same
138,6/30/2022 16:30,150.98,150.98,150.8,150.8,13.56,150.862,5,Crossed.same
139,6/30/2022 16:35,150.8,150.8,150.58,150.58,19.78,150.781,7,Crossed.same
140,6/30/2022 16:40,150.8,150.8,150.71,150.72,20.1,150.746,8,Crossed.same
141,6/30/2022 16:45,150.75,151.06,150.75,151.06,35.43,150.947,16,Crossed.same
142,6/30/2022 16:50,151.27,151.31,151.1,151.1,18.94,151.259,9,Crossed.over
143,6/30/2022 16:55,151.25,151.3,151,151,120.14,151.124,34,Crossed.same
